id,address,businessName,photoURL,city,state,url,reviewCount,stars,longitude,latitude
11,"3602 Chestnut StUniversity CityPhiladelphia, PA 19104",Pizza Rustica,http://s3-media2.ak.yelpcdn.com/bphoto/KRnUavxcvZgxdGbGR8_RhA/ms.jpg,Philadelphia,PA,http://www.yelp.com/biz/pizza-rustica-philadelphia,76,2.5,-75.1946414,39.9546756
12,"3800 Locust WalkUniversity CityPhiladelphia, PA 19104",C3,http://s3-media3.ak.yelpcdn.com/bphoto/Muv7OksIQCEp390QrCh3hg/ms.jpg,Philadelphia,PA,http://www.yelp.com/biz/c3-philadelphia,2,1,-75.1993713,39.9524864
13,"230 S 40th StUniversity CityPhiladelphia, PA 19104",Qdoba Mexican Grill,http://s3-media1.ak.yelpcdn.com/bphoto/lz6F327w2Yh2VAFZ1mxvBA/ms.jpg,Philadelphia,PA,http://www.yelp.com/biz/qdoba-mexican-grill-philadelphia-2,28,3.5,-75.2029367,39.953101
14,"36th & MarketPowelton VillagePhiladelphia, PA 19104",Gul's Breakfast & Lunch Cart,http://s3-media4.ak.yelpcdn.com/bphoto/6NRWiuLbw2kssPT2wEBZ3g/ms.jpg,Philadelphia,PA,http://www.yelp.com/biz/guls-breakfast-and-lunch-cart-philadelphia,7,4.5,-75.1941485,39.956188
15,"8308-8338 Regents Rd.University CitySan Diego, CA 92122",Pines of La Jolla,http://s3-media3.ak.yelpcdn.com/bphoto/gpGPCLGgCr9rQBPQLTYRcQ/ms.jpg,San Diego,CA,http://www.yelp.com/biz/pines-of-la-jolla-san-diego,2,3.5,-117.222214,32.86676
16,"8929 University Center LnSte 102University CitySan Diego, CA 92122",Pietraszek James Casimir MD Facs,http://s3-media1.ak.yelpcdn.com/assets/2/www/img/924a6444ca6c/gfx/blank_biz_medium.gif,San Diego,CA,http://www.yelp.com/biz/pietraszek-james-casimir-md-facs-san-diego,3,5,-117.226524,32.869842
17,"34th & MarketPowelton VillagePhiladelphia, PA 19104",Market 16 Noodle Bar,http://s3-media1.ak.yelpcdn.com/assets/2/www/img/924a6444ca6c/gfx/blank_biz_medium.gif,Philadelphia,PA,http://www.yelp.com/biz/market-16-noodle-bar-philadelphia,4,2,-75.1914738,39.9558499
18,"University of Pennsylvania3805 Locust WalkUniversity CityPhiladelphia, PA 19104",Kelly Writers House,http://s3-media1.ak.yelpcdn.com/bphoto/XTrMh0XIlB1ViBi-dgnVbQ/ms.jpg,Philadelphia,PA,http://www.yelp.com/biz/kelly-writers-house-philadelphia,4,4.5,-75.199356,39.952583
19,"38th & Walnut StUniversity CityPhiladelphia, PA 19104",House of Pita Hanan,http://s3-media2.ak.yelpcdn.com/bphoto/3PzpKa3HwsyyRlQ95wTamw/ms.jpg,Philadelphia,PA,http://www.yelp.com/biz/house-of-pita-hanan-philadelphia,14,3.5,-75.1987871,39.9536482
20,"3400 Spruce StUniversity CityPhiladelphia, PA 19104","Michael Cirigliano, MD",http://s3-media1.ak.yelpcdn.com/assets/2/www/img/924a6444ca6c/gfx/blank_biz_medium.gif,Philadelphia,PA,http://www.yelp.com/biz/michael-cirigliano-md-philadelphia,3,5,-75.1931012,39.9500166
21,"3535 Market StPowelton VillagePhiladelphia, PA 19104",FedEx Office Print & Ship Center,http://s3-media1.ak.yelpcdn.com/bphoto/gPef7kEuP5LsuL2BjbyYvQ/ms.jpg,Philadelphia,PA,http://www.yelp.com/biz/fedex-office-print-and-ship-center-philadelphia,4,4.5,-75.193911,39.956423
22,"3920 Spruce StUniversity CityPhiladelphia, PA 19104",House of Our Own,http://s3-media4.ak.yelpcdn.com/bphoto/J17WTliRVMnb75gCW4WZAA/ms.jpg,Philadelphia,PA,http://www.yelp.com/biz/house-of-our-own-philadelphia,18,4.5,-75.2018583,39.9514381
23,"3900 Chestnut StUniversity CityPhiladelphia, PA 19104",Drinker's West,http://s3-media2.ak.yelpcdn.com/bphoto/QYPxp6makPzLLoJg7OT6Kw/ms.jpg,Philadelphia,PA,http://www.yelp.com/biz/drinkers-west-philadelphia,61,3.5,-75.2001318,39.9549304
24,"3845 Nobel DrUniversity CitySan Diego, CA 92122",La Scala Luxury Villas,http://s3-media1.ak.yelpcdn.com/bphoto/pWdR6Ma5lEYExXUcrJsxUw/ms.jpg,San Diego,CA,http://www.yelp.com/biz/la-scala-luxury-villas-san-diego,9,3,-117.2236665,32.8682733
25,"4060 Chestnut StUniversity CityPhiladelphia, PA 19104",New Style Pizza,http://s3-media1.ak.yelpcdn.com/bphoto/LzJBDdamOdlyPYONCeIkEQ/ms.jpg,Philadelphia,PA,http://www.yelp.com/biz/new-style-pizza-philadelphia,13,3.5,-75.204672,39.955682
26,"8970 University Center LnUniversity CityLa Jolla, CA 92122",Fleming's Prime Steakhouse & Wine Bar,http://s3-media1.ak.yelpcdn.com/bphoto/yvJgwalK8sgArayp5hykzg/ms.jpg,La Jolla,CA,http://www.yelp.com/biz/flemings-prime-steakhouse-and-wine-bar-la-jolla-2,343,4,-117.2251655,32.8700966
